caseid,casenum,cohort,schoolid,rural,gender,math_07,math_08,math_09,math_10,math_11,math_12,mothed,fathed
1,3819,2,101,0,0,70.05,69.23,71.07,78.52,81.66,78.77,2,2
2,5881,2,101,0,0,59.36,65.2,68.92,72.06,70,75.05,2,2
3,1435,2,101,0,1,68.47,69.31,76.32,79.89,80.57,NA,3,4
4,5278,2,101,0,1,61.66,66.08,71.02,70,82.12,90.01,2,2
5,6693,2,101,0,1,69.87,65.75,70.11,74.47,76.04,80.02,2,4
6,4294,2,101,0,1,64.22,63.88,59.37,61.9,78.31,79.07,2,2
7,1194,2,101,0,1,57.04,59.93,63.68,67.42,NA,NA,2,2
8,5682,2,101,0,1,60.13,62.04,66.54,69.46,72.38,84.56,4,5
9,6485,2,101,0,0,60.66,64.14,68.15,72.15,NA,NA,2,2
10,4938,2,101,0,0,71.66,70.5,80.25,86.79,NA,NA,3,4
11,2630,2,101,0,1,59.61,56.93,60.27,64.52,66.64,69.56,3,2
12,6080,2,101,0,1,55.06,48.32,63.48,63.96,65.59,75.09,3,2
13,1730,2,101,0,1,61.99,63.86,63.75,62.71,66.48,69.11,2,1
14,5280,2,101,0,1,60.09,62.21,56.01,63.67,67.68,69.66,2,3
15,2204,2,101,0,1,58.98,60.26,63.02,65.77,NA,NA,2,3
16,6715,2,101,0,1,57.98,60.38,64.33,68.85,81.31,78.24,2,1
17,1442,2,101,0,1,47.5,63.41,64.84,67.74,NA,NA,2,2
18,6821,2,101,0,0,47.49,54.07,55.2,56.32,70.29,68.27,3,2
19,2041,2,101,0,0,55.03,57.01,59.9,54.26,64.47,68.9,1,1
20,4888,2,101,0,0,66.3,63.01,79.41,82.49,86.97,91.44,2,2
21,3329,2,101,0,0,51.44,55.23,55.74,62.68,62.58,60.98,2,2
22,1915,2,101,0,1,55.65,61.37,66.99,70.3,73.61,84.05,2,2
23,4768,2,101,0,1,56.52,54.53,47.11,54.4,54.7,56.16,2,2
24,6611,2,101,0,1,50.04,57.37,56.93,59.64,62.34,66.01,2,2
25,6800,2,101,0,1,50.1,50.22,46.39,55.21,60.35,59.19,1,4
26,1840,2,101,0,0,43.43,45.33,54.61,52,56.9,56.9,2,2
27,6469,2,101,0,0,46.64,51.8,57.17,54.22,62.72,61.16,1,2
28,6115,2,101,0,1,40.12,51.42,59.13,63.03,65.49,NA,5,2
29,5593,2,101,0,1,39.13,47.94,42.66,48.77,54.88,48.5,2,5
30,3803,2,101,0,1,55.69,58.75,64.7,64.37,64.03,64.75,2,1
31,4168,2,101,0,0,47.3,47.04,41.56,36.89,58.45,57.4,2,NA
32,4607,2,101,0,0,43.58,44.94,49.78,52.92,52.67,51.8,2,2
33,4618,2,101,0,0,49.28,48.62,40.04,31.45,NA,NA,2,2
34,3299,2,101,0,1,51.41,52.39,53.37,56.39,59.41,NA,1,5
35,5374,2,101,0,1,44.11,49.91,53.66,NA,NA,NA,2,4
36,3746,2,101,0,0,48.8,52.94,54.79,59.44,64.08,NA,2,1
37,5353,2,101,0,0,51.78,51.86,57.43,62.25,61.98,63.93,2,2
38,4533,2,101,0,0,47.81,53.42,47.3,43.23,38.16,NA,NA,1
39,2417,2,101,0,1,49.73,56.37,55.66,61.09,63.82,67.63,2,NA
40,6901,2,101,0,1,47.33,52.56,53.59,54.61,51.13,53.59,3,4
41,3616,2,101,0,0,40.39,NA,NA,NA,NA,NA,2,1
42,3094,2,101,0,0,42.58,45.31,44.47,46.75,NA,NA,2,1
43,1378,2,101,0,0,33,39.18,36.14,37.86,42.81,39.14,2,1
44,2063,2,101,0,1,37.63,38.93,49.24,38.83,55.51,47.27,2,4
45,4582,2,101,0,0,48.03,50.04,57.76,61.65,NA,NA,2,2
46,6062,2,101,0,0,42.98,50.79,NA,NA,NA,NA,2,3
47,1976,2,101,0,0,48.33,44.92,46.36,46.61,NA,NA,1,1
48,4092,2,101,0,1,42.11,42.22,49.25,NA,NA,NA,5,2
49,2319,2,101,0,0,36.17,34.9,39.81,42.47,NA,NA,2,5
50,1721,2,101,0,0,48.05,NA,NA,NA,NA,NA,NA,NA
51,3996,2,101,0,0,44.19,36.02,43.03,NA,NA,NA,2,NA
52,4754,2,101,0,1,31.14,31.91,NA,NA,NA,NA,1,2
53,3585,2,101,0,0,38.34,34.93,35.7,36.46,NA,NA,2,NA
54,2784,2,101,0,0,36.78,NA,NA,NA,NA,NA,1,NA
55,4039,2,101,0,0,31.52,39.15,41.4,43.36,NA,NA,1,2
56,5373,2,101,0,1,67.35,71.89,71.13,78.21,72.21,76.36,5,5
57,1033,2,101,0,0,44.24,40.36,52.19,45.14,50.34,52.57,2,2
58,2418,2,101,0,0,43.59,36.49,43.02,47.16,48.88,27.01,1,2
59,5318,2,101,0,1,NA,NA,NA,NA,NA,NA,2,2
60,1794,2,101,0,0,48.83,57.38,54.11,53.98,61.07,62.6,NA,NA
61,2212,2,101,0,0,40.21,40.78,45.55,48.45,NA,NA,2,1
62,1324,2,102,0,0,42.71,45.07,49.59,52.61,NA,NA,2,5
63,1681,2,102,0,0,33.85,37.62,36.8,35.97,NA,NA,2,2
64,4916,2,102,0,1,49.85,50.51,51.16,NA,NA,NA,1,1
65,2310,2,102,0,1,52.57,45.52,48,55.21,58.62,56.85,NA,2
66,1382,2,102,0,0,35.06,42,40.32,48.05,NA,NA,2,2
67,1497,2,102,0,0,49.09,56.01,59.88,63.23,NA,NA,2,1
68,4615,2,102,0,1,49.83,48.16,51.63,51.28,57.18,55.24,2,2
69,1614,2,102,0,0,35.98,42.85,36.58,31.86,39.48,45.49,2,4
70,1577,2,102,0,1,37.6,52.8,44.11,52.38,54.33,NA,1,2
71,1656,2,102,0,1,46.66,52.68,56.58,59.78,NA,NA,2,1
72,1791,2,102,0,0,42.43,30.72,34.76,NA,NA,NA,2,1
73,5650,2,102,0,1,46.79,56.04,56.12,59.77,63.01,62.87,1,5
74,2407,2,102,0,1,57.68,61.75,67.05,73.21,NA,NA,2,4
75,4924,2,102,0,0,57.58,60.73,71.49,71.65,NA,NA,1,2
